%time,field
1441698632386797866,0.999389827251
1441698632401523893,0.99895209074
1441698632415355653,0.99904936552
1441698632433262182,0.998235881329
1441698632451857666,0.999258220196
1441698632471104827,0.99884146452
1441698632486068324,0.99889922142
1441698632501747425,0.998775660992
1441698632519745900,0.998106181622
1441698632534019807,0.999123752117
1441698632551744252,0.999159038067
1441698632568926256,0.999200046062
1441698632584041977,0.999046504498
1441698632600206296,0.999360263348
1441698632616859874,0.998375117779
1441698632632670033,1.00003886223
1441698632648992602,0.998173892498
1441698632666419412,0.998529613018
1441698632683826128,0.99989002943
1441698632700005221,0.998837172985
1441698632714999528,0.999547183514
1441698632732276648,0.999488055706
1441698632748480778,0.999091804028
1441698632766653190,0.999086797237
1441698632783035590,0.999043405056
1441698632799243659,0.999364316463
1441698632816192457,0.999083459377
1441698632832195563,0.999373614788
1441698632851933414,0.997450232506
1441698632868419273,0.998643696308
1441698632882258801,0.998219490051
1441698632901952127,0.999043405056
1441698632917982990,0.998187243938
1441698632934309617,0.998682022095
1441698632948584534,0.998984277248
1441698632967013306,0.999349176884
1441698632983207635,0.998792111874
1441698632999080890,0.99955791235
1441698633015288250,0.998687684536
1441698633032539398,0.998450934887
1441698633049764407,0.99846714735
1441698633066172099,0.999043643475
1441698633086327623,0.998647868633
1441698633102489405,0.999023616314
1441698633115528409,0.998839557171
1441698633132697704,0.999142825603
1441698633154531615,0.999125182629
1441698633169440641,0.9985896945
1441698633183369267,0.999130427837
1441698633203307764,0.998924434185
1441698633217739988,0.998898684978
1441698633233000384,0.998439967632
1441698633252625222,0.998051822186
1441698633267013094,0.999081790447
1441698633284953915,0.999355494976
1441698633302171039,0.999238193035
1441698633317177973,0.998484134674
1441698633332318369,0.860398709774
1441698633354691131,0.814955174923
1441698633373265369,0.689445793629
1441698633387219066,0.438385039568
1441698633406315256,0.249563500285
1441698633421204005,0.00727267330512
1441698633434510148,-0.00132559868507
1441698633450011019,-0.00152110063937
1441698633467871238,-0.00154112768359
1441698633482833148,-0.00145148287993
1441698633502018945,-0.00129794236273
1441698633520128842,-0.001358023379
1441698633539366157,-0.00177096168045
